Name,Website,Specialty,Address,Suburb,Postcode,State
Steven Yun,www.wollongongeyedoctor.com.au,Ophthalmology,1-3 PRINCES HIGHWAY,FIGTREE,2525,NSW
Southern Ophthalmology - Wollongong,www.suresight.com.au,Ophthalmology,441 Crown Street,WOLLONGONG,2500,NSW
Broughton Street Eye Specialists,http://www.broughtonsteyespecialists.com/broughtonsteyespecialists_referal.pdf,Ophthalmology,14 ELIZABETH STREET,CAMDEN,2570,NSW
Dr Melissa Doohan - Cardiologist,http://www.doohancardiology.com.au/,Cardiology,North Shore Private Hospital,ST LEONARDS,2065,NSW
Sydney Echo Clinic,https://www.sydneyechoclinic.com.au,Cardiology,114-116 Glebe Point Road,GLEBE,2037,NSW
North Shore Cardiac Centre,https://www.nscardiaccentre.com.au/,Cardiology,North Shore Private Hospital,ST LEONARDS,2065,NSW
Dr Christopher Quirk Consultant Cardiologist,https://www.drchristopherquirkcardiologist.com/,Cardiology,7 WESTBOURNE STREET,ST LEONARDS,2065,NSW
Heart Rhythm Centre,https://heartrhythm.com.au/,Cardiology,Rpa Medical Centre,NEWTOWN,2042,NSW
Sydney North Specialist Centre - St Leonards,https://sydneynorthcardiology.com.au/,Cardiology,Suite 403,ST LEONARDS,2065,NSW
Dr Peter Vale - The Mater Clinic,www.vascularspecialist.com.au,Cardiology,(Accessed via 25 Rocklands Road),WOLLSTONECRAFT,2065,NSW
Dr Edward Barin,https://wisespecialisthub.com.au,Cardiology,Level 1,MACQUARIE PARK,2113,NSW
New South Wales Cardiology,http://www.nswcardiology.com.au,Cardiology,St Vincent's Annex,PADDINGTON,2021,NSW
Southern Sydney Medical Specialists,https://ssmed.com.au/,Cardiology,SUITE 2,WOLLI CREEK,2205,NSW
Body and Mind Rehabilitation,http://bmrehab.com.au/,Cardiology,96A Haldon Street,LAKEMBA,2195,NSW
Dr Andre Loiselle's Rooms,https://broadmeadowneurology.com.au/,Neurology,20 LAMBTON ROAD,BROADMEADOW,2292,NSW
"Mind-Care Psychology, Psychiatry & Neurology",https://www.mind-care.net.au/,Neurology,28 SMART STREET,CHARLESTOWN,2290,NSW
Professor Robert Heard - Neurologist,http://www.brainandnerve.com.au/contact/,Neurology,55 Hills Street,NORTH GOSFORD,2250,NSW
Northern Beaches Neurology,www.nbneuro.com.au,Neurology,Dee Why Grand Commercial Tower,DEE WHY,2099,NSW
Dr Rohan Bhagwandeen,https://newcastleheart.com.au/,Cardiology,64 Denison Street,HAMILTON EAST,2303,NSW
Newcastle Adult And Paediatric Heart Centre,https://www.naphc.com.au,Cardiology,16 GRAINGER STREET,LAMBTON,2299,NSW
Dr Samuel Adera - Cardiologist,https://www.lakemacquarieprivate.com/Our-Doctors/Specialists/lake-macquarie-private-hospital/cardiology/100722/dr-samuel-adera,Cardiology,Level 1,GATESHEAD,2290,NSW
The Cardiology Clinic,http://www.thecardiologyclinic.com.au/contact/,Cardiology,43 Page Street,EAST MAITLAND,2323,NSW
Coastal Cardiology Clinic,https://coastalcardiologyclinic.com.au/,Cardiology,25 JARRETT STREET,NORTH GOSFORD,2250,NSW
Dr Andrew Hill,https://drandrewhill.com.au/,Cardiology,Suite 8,NORTH GOSFORD,2250,NSW
Gunalingam Cardiology,https://gunalingamcardiology.com.au/,Cardiology,367 Mann Street,NORTH GOSFORD,2250,NSW
Northern Beaches Cardiology,http://northernbeachescardiology.com.au/,Cardiology,Pittwater Place Shopping Centre,MONA VALE,2103,NSW
Northern Cardiology,https://northerncardiology.com.au/,Cardiology,Level 6 Suite 2,FRENCHS FOREST,2086,NSW
Mayfield Medical Connection,https://mayfieldmedicalconnection.com.au/,Pathology,55 HANBURY STREET,MAYFIELD,2304,NSW
HealthSure Medical Centre Jesmond,https://healthsuremc.com.au/,Pathology,Jesmond Central,JESMOND,2299,NSW
Elanora Heights Medical Practice,http://www.elanoramedical.com.au,Pathology,Shop 3,ELANORA HEIGHTS,2101,NSW
Mt Kuring-Gai Medical Centre,https://mkmc.com.au/,Pathology,Shop 5-6,MOUNT KURING-GAI,2080,NSW
Dee Why Medical Centre,https://www.deewhymedical.com/,Pathology,Shop A,DEE WHY,2099,NSW
Warringah Medical and Dental Centre,https://www.warringahmedicalcentre.com.au,Pathology; Radiology service,10 DALE STREET,BROOKVALE,2100,NSW
Southern Neurology and Neurophysiology,https://www.southernneurology.com.au/,Neurology,32 Kensington Road,ROSE PARK,5067,SA
SA Group of Specialists - Flinders Private Hospital,https://sagroup.net.au/,Neurology,Flinders Private Hospital,BEDFORD PARK,5042,SA
Nunyara House Specialist Medical Centre,http://www.nunyarahouse.com.au/,Neurology,43 Adelaide Road,GAWLER SOUTH,5118,SA
Mr Robert Sew Hoy - Orthopaedic Surgeon,https://robertsewhoy.com.au/,Orthopaedic service,Northern Beaches Hospital,FRENCHS FOREST,2086,NSW
Dr Arthur Turow,https://drarthurturow.com.au/,Orthopaedic service,Wakefield Orthopaedic Clinic,ADELAIDE,5000,SA
Dr Benjamin Beamond - Wakefield Orthopaedic Clinic,https://www.adelaideankle.com.au/,Orthopaedic service,Level 2,ADELAIDE,5000,SA
Dr Meenu Shunmugam - Adult and Paediatric Spine Surgeon in Adelaide,http://www.meenushun.com.au/,Orthopaedic service,Level 1 Suite 2,ADELAIDE,5000,SA
Dr Sommit Dan,https://focusshoulder.com.au/,Orthopaedic service,Level 3,ADELAIDE,5000,SA
East Adelaide Specialist Centre,http://www.eastadelaidespecialistcentre.com.au,Orthopaedic service,151 Hutt Street,ADELAIDE,5000,SA
Dr Raymond Yu,https://drraymondyu.com.au/,Orthopaedic service,Orthopaedics 360,NORWOOD,5067,SA
Dr John Van Essen,https://www.drjohnvanessen.com.au/,Orthopaedic service,AMA House,NORTH ADELAIDE,5006,SA
Dr David Hall - North Adelaide,https://spine.com.au/doctor-david-hall/,Orthopaedic service,208 Melbourne Street,NORTH ADELAIDE,5006,SA
Prof Gregory Bain,http://www.gregbain.com.au/,Orthopaedic service,196 Melbourne Street,NORTH ADELAIDE,5006,SA
Tony Menz Orthopaedics,http://www.tonymenzorthopaedics.com.au,Orthopaedic service,Suite 9,NORTH ADELAIDE,5006,SA
Dr Savvoulidis,http://www.drsavvoulidis.com.au,Orthopaedic service,62 Kensington Road,ROSE PARK,5067,SA
North Adelaide Specialist Centre,https://northadelaidespecialistcentre.com/,Orthopaedic service,53 Gover Street,NORTH ADELAIDE,5006,SA
Dr James McLean,http://www.jmclean.com.au/,Orthopaedic service,41 Anzac Highway,ASHFORD,5035,SA
Kurmis Orthopaedics,https://www.kurmisorthopaedics.com.au/,Orthopaedic service,Suite 2,MALVERN,5061,SA
Ashford Cardiac Clinic,https://ashfordcardiac.com.au/,Cardiology,50 Marleston,ASHFORD,5035,SA
Magnolia Specialist Centre,https://www.magnoliasc.com.au,Cardiology,665 Marion Road,ASCOT PARK,5043,SA
QE Specialist Centre,https://www.qespecialistcentre.com.au/,Cardiology; Radiology service,35 Woodville Road,WOODVILLE SOUTH,5011,SA
Western HeartCare,http://westernheartcare.com.au/,Cardiology,Western Community Hospital,HENLEY BEACH,5022,SA
Physicians SA,http://www.physicianssa.com.au/,Cardiology; Pathology,North East Specialist Centre,HOLDEN HILL,5088,SA
Adelaide Pathology Partners,www.adelaidepath.com.au,Pathology,32-56 Sir Donald Bradman Drive,MILE END,5031,SA
Dulwich Family Practice,http://www.dulwichfamilypractice.com.au/,Pathology,62 Dulwich Avenue,DULWICH,5065,SA
Magill Family Practice,https://www.magillfamilypractice.com.au/,Pathology,537 Magill Road,MAGILL,5072,SA
Tudor Medical Centre,https://www.tudormedical.com.au/,Pathology,69 Dyott Avenue,HAMPSTEAD GARDENS,5086,SA
Daws Road Medical Centre,https://www.riversidemedical.com.au/,Pathology,135 Daws Road,ST MARYS,5042,SA
Adelaide Medical Solutions,https://yourhealthclinics-sa.com.au/,Pathology; Radiology service,850 Port Road,WOODVILLE SOUTH,5011,SA
Marion Domain Medical And Dental Centre,https://www.mariondomainmedicalcentre.com.au/,Pathology,453 MORPHETT ROAD,OAKLANDS PARK,5046,SA
Old Port Road Medical and Dental Centre,https://www.forhealtholdportroad.com.au/,Pathology; Radiology service,1202-1210 OLD PORT ROAD,ROYAL PARK,5014,SA
Montague Farm Medical Centre,https://www.mfmcdoctors.com.au,Pathology,Shop 8,POORAKA,5095,SA
Clovercrest Family Practice,https://www.clovercrestfamilypractice.com.au/,Pathology,Clovercrest Village,MODBURY,5092,SA
Hill Cove Medical Centre,https://hillcovemedicalcentre.com.au/,Pathology,37 MAIN SOUTH ROAD,O'HALLORAN HILL,5158,SA
St Agnes Surgery,http://www.stagnessurgery.com.au,Pathology,1251 North East Road,RIDGEHAVEN,5097,SA
Premium Care Medical Practice,https://premiumcaremedical.com.au/,Pathology,Hollywood Plaza,SALISBURY DOWNS,5108,SA
gpHealth - Hackham Clinic,https://gphealthhackham.com/,Pathology,Shop 8 -11 Hackham Plaza Shopping Centre,HACKHAM,5163,SA
Unihealth Playford SuperClinic,unihealthplayford.com.au,Pathology,250 Curtis Road,MUNNO PARA,5115,SA
Forest Eye Surgery,www.foresteyesurgery.com.au,Ophthalmology,Building 7,FRENCHS FOREST,2086,NSW
Forestville Specialist Medical Centre,http://forestvillespecialist.blogspot.com/,Ophthalmology,19 Starkey Street,FORESTVILLE,2087,NSW
Eagle Eye Surgeons & Laser Vision Correction,https://eagleeyesurgeons.com.au/,Ophthalmology,Suite 1,MOSMAN,2088,NSW
Cataract Surgery SA,http://www.cataractsurgerysa.com.au/,Ophthalmology,169 Pirie Street,ADELAIDE,5000,SA
Wakefield Eye Care,https://www.wakefieldeye.com.au/,Ophthalmology,Level 2,ADELAIDE,5000,SA
Adelaide Eye and Retina Centre,https://www.adelaideretina.com.au/,Ophthalmology,Level 2,ADELAIDE,5000,SA
Pennington Eye Clinic,https://www.penningtoneyeclinic.com/,Ophthalmology,79 Pennington Terrace,NORTH ADELAIDE,5006,SA
VisionSA,https://visionsaeye.com.au/,Ophthalmology,Suite 4,KENT TOWN,5067,SA
Ashford Advanced Eye Care,https://www.ashfordadvancedeyecare.com.au/,Ophthalmology,UNIT 1,WAYVILLE,5034,SA
Adelaide Skin and Eye Centre,http://asec.net.au,Ophthalmology,87-89 King William Street,KENT TOWN,5067,SA
Dr Swati Sinkar - Paediatric Eye Specialist and Ophthalmologist,https://www.drswatisinkar.com.au/,Ophthalmology,Level 1 Suite 23,NORTH ADELAIDE,5006,SA
North Adelaide Eye Centre,naec.com.au,Ophthalmology,75-77 Melbourne Street,NORTH ADELAIDE,5006,SA
Marion Road Eye Clinic,https://adelaideretina.com/,Ophthalmology,530 Marion Road,PLYMPTON PARK,5038,SA
Mawson Lakes Eye Specialists,http://www.mawsonlakeseyespecialists.com/,Ophthalmology,Shop 2,MAWSON LAKES,5095,SA
Glenelg Orthopaedics,https://www.glenelgorthopaedics.com.au/,Orthopaedic service,47 Broadway,GLENELG SOUTH,5045,SA
My Medical Practice - Gungahlin,https://www.mymedicalpractice.com.au/gungahlin,Pathology,Level 1,GUNGAHLIN,2912,ACT
Dr Hamish Eaton,https://www.southernspecialists.com/telephonenumbers,Cardiology,233 MAIN SOUTH ROAD,MORPHETT VALE,5162,SA
Sunbury Specialist Centre,http://sunburyspecialistcentre.com.au,Orthopaedic service; Neurology,17 RIDDELL ROAD,SUNBURY,3429,VIC
Wyndham Private Specialist Consulting Suites,www.wyndhamprivate.com.au,Orthopaedic service; Cardiology,UNIT 1,WERRIBEE,3030,VIC
Myphysio-Evolution,http://www.myphysiowyndhamvale.com.au,Orthopaedic service,143 Greens Road,WYNDHAM VALE,3024,VIC
Williamstown Specialist Centre,https://williamstownsc.com.au,Orthopaedic service; Cardiology,87 FERGUSON STREET,WILLIAMSTOWN,3016,VIC
St Albans Eye Specialists,www.stalbanseyespecialists.com.au,Ophthalmology,398 Main Road W,ST ALBANS,3021,VIC
Sunbury Eye Surgeons,www.sunburyeyesurgeons.com.au/,Ophthalmology,11 Neill Street,SUNBURY,3429,VIC
Melbourne Eye Centre - Sunbury Caratact Centre,https://centreforsight.com.au/?page_id=14,Ophthalmology,Goonawarra Day Hospital Eye Clinic,SUNBURY,3429,VIC
Hobsons Bay Eye Surgeons,www.hbeyes.com.au,Ophthalmology,10 POINT COOK ROAD,ALTONA MEADOWS,3028,VIC
BACCHUS MARSH EYE CLINIC PTY LTD,http://bacchusmarsheyeclinic.com.au/,Ophthalmology,16 Grant Street,BACCHUS MARSH,3340,VIC
Williamstown Eye Centre,http://www.drstubbs.com.au/,Ophthalmology,120 Ferguson Street,WILLIAMSTOWN,3016,VIC
Echo Heart Centre,http://www.drstevemarasovic.com.au/,Cardiology,Level 3 Suite 23,CAROLINE SPRINGS,3023,VIC
Assure Health Medical Centre,https://assurehealth.com.au/,Cardiology,St Albans Train Station,ST ALBANS,3021,VIC
755 Sayers Road Medical Centre,https://755srmc.com.au/,Cardiology,755 SAYERS ROAD,HOPPERS CROSSING,3029,VIC
Werribee Heart,https://werribeeheart.com.auau,Cardiology,Wyndham Private Medical Centre,WERRIBEE,3030,VIC
Heart Scanner,https://www.heartscanner.com.au,Cardiology,240 Hoppers Lane,WERRIBEE,3030,VIC
Healthwest Medical & Specialist Centre,https://healthwestmedical.com.au/,Pathology,549 MORRIS ROAD,TRUGANINA,3029,VIC
Supernova Medical Centre,https://supernovamedical.com.au/,Pathology,14 LAVINIA DRIVE,TARNEIT,3029,VIC
Westgate Medical Centre - Hoppers Crossing,http://sayers.westgatemedical.com.au/,Pathology,381 Sayers Road,HOPPERS CROSSING,3029,VIC
Westgate Medical Centre - Werribee,www.westgatemedical.com.au,Pathology,259 Heaths Road,WERRIBEE,3030,VIC
Arrowhead Medical Centre,http://www.arrowheadmedicalcentre.com.au/,Pathology,5 Cinnamon Grove,POINT COOK,3030,VIC
Juniper Avenue Medical Centre,https://junipermedical.com.au/,Pathology,2 JUNIPER AVENUE,POINT COOK,3030,VIC
Werribee Medical and Dental Centre,https://www.werribeemedicalcentre.com.au/,Pathology; Radiology service,1-5 STATION PLACE,WERRIBEE,3030,VIC
Queensland Limb Reconstruction Clinic,http://www.qldlrc.com.au,Orthopaedic service,North West Specialist Centre,EVERTON PARK,4053,QLD
Dr Greg Sterling,https://www.gregsterling.com.au/,Orthopaedic service,Level 6 Suite 6,SPRING HILL,4000,QLD
Dr Michael Lutz,http://www.anklefootlutz.com,Orthopaedic service,St Andrew's Place,SPRING HILL,4000,QLD
Dr. Alexey Borshch - Orthopaedic Surgeon,https://dralexeyborshch.com.au/,Orthopaedic service,Unit 9,HAMILTON,4007,QLD
The Clinic Altona,https://www.theclinicaltona.com.au/,Pathology,55 Blyth Street,ALTONA,3018,VIC
Alma Village Medical Centre,https://www.almamedical.com.au,Pathology,352 Orrong Road,CAULFIELD NORTH,3161,VIC
Brightside Medical,https://www.brightsidemedical.com.au/,Pathology,76 Douglas Parade,WILLIAMSTOWN,3016,VIC
Trinity Medical Centre - Port Adelaide,http://www.trinitywestcare.com.au/,Orthopaedic service,28 COLLEGE STREET,PORT ADELAIDE,5015,SA
Cardiolab,www.cardiolab.com.au,Cardiology,Level 1 Suite 103,SOUTH YARRA,3141,VIC
A/Prof Peter Barlis - Cardiology,www.peterbarlis.com.au,Cardiology,Level 3 Suite 31,EAST MELBOURNE,3002,VIC
Heart Wellness Centre Victoria,https://www.heartwellnesscentre.com.au,Cardiology,St Vincent's Private East Melbourne Level 3 Suite 34,EAST MELBOURNE,3002,VIC
A/Prof Justin A Mariani - Cardiologist,http://justinmariani.com.au/,Cardiology,Level 5 Suite 503,EAST MELBOURNE,3002,VIC
Alex McLellan East Melbourne Rooms,https://www.eastmelbournecardiology.com.au/,Cardiology,Suite 503,EAST MELBOURNE,3002,VIC
Mr Patrick Chan,https://www.patrickchan.com.au/contact-us/,Orthopaedic service,Level 3 Suite 1,MELBOURNE,3004,VIC
Orthopaedic Foot and Ankle Centre of Victoria,www.bunionsurgery.net.au,Orthopaedic service,Level 1,PRAHRAN,3181,VIC
Malabar Orthopaedic Clinic,www.hipandkneesurgeonmelbourne.com.au,Orthopaedic service,43 The Avenue,WINDSOR,3181,VIC
Mr Iain McLean - Orthopaedic Consultant,http://www.iainmclean.com.au,Orthopaedic service,Level 2 Suite 1,MELBOURNE,3000,VIC
Mr Altay Altuntas - Orthopaedic Surgeon,http://www.draltay.com/,Orthopaedic service,Level 1 Suite 16,EAST MELBOURNE,3002,VIC
Mr Mark Blackney - Orthopaedic Surgery,www.markblackney.com.au,Orthopaedic service,St Francis Building,EAST MELBOURNE,3002,VIC
MR Craig Mills - Orthopaedic Surgeon,https://www.drcraigmills.com/,Orthopaedic service,Suite 44,EAST MELBOURNE,3002,VIC
Mr Ash Moaveni,https://www.emorthosports.com.au/,Orthopaedic service,Level 4 Suite 48,EAST MELBOURNE,3002,VIC
Mr John Salmon - Orthopaedic Surgeon,www.theparkclinic.com.au,Orthopaedic service,Level 8 Suite 82,EAST MELBOURNE,3002,VIC
Dr Hamish Curry - Foot and Ankle Orthopaedic Surgeon,https://hamishcurry.com.au/,Orthopaedic service,Level 1 Suite 16,EAST MELBOURNE,3002,VIC
Mr Osama Elsewaisy - Orthopaedic Surgeon,https://www.oeortho.com/,Orthopaedic service,St. Francis Building,EAST MELBOURNE,3002,VIC
Northern Cardiology and Specialists Clinic,https://ncsc.com.au/,Cardiology,Suite 4,ELIZABETH VALE,5112,SA
Adelaide Hills Orthopaedic Centre,http://www.adelaideortho.com.au,Orthopaedic service,Stirling Hospital,STIRLING,5152,SA
Prof Jegan Krishnan - Orthodpaedic Surgeon,https://www.krishnan.com.au/,Orthopaedic service,Blackwood Hospital,BELAIR,5052,SA
Dr David Worsley,https://drworsley.com.au/,Orthopaedic service,Suite 605,BEDFORD PARK,5042,SA
"Dr Braad Sowman, Orthopaedic Surgeon",http://www.spinewest.com.au/,Orthopaedic service,"Spinewest, St John of God Subiaco Clinic",SUBIACO,6008,WA
"Mr David Colvin, Orthopaedic Surgeon",https://www.shoulderandkneesurgery.com.au/,Orthopaedic service,"Western Orthopaedic Clinic, SJOG Healthcare Subiaco Clinic",SUBIACO,6008,WA
"Dr Angus Keogh, Orthopaedic Surgeon",https://www.anguskeogh.com/,Orthopaedic service,Limb Surgery Sjog Subiaco Medical Clinic,SUBIACO,6008,WA
West Coast Orthopaedic Centre,https://wcortho.com.au/,Orthopaedic service,St John Of God Medical Centre,SUBIACO,6008,WA
"Mr Tao Shan Lim, Orthopaedic Surgeon",www.jogwa.com.au,Orthopaedic service,"Joondalup Othopaedic Group, Joondalup Private Hospital",JOONDALUP,6027,WA
"Dr Arash Taheri, Orthopaedic Surgeon",https://www.drarashtaheri.com.au/,Orthopaedic service,"Joondalup Orthopaedic Group, Joondalup Private Hospital",JOONDALUP,6027,WA
"Dr Vara Mukundala, Orthopaedic Surgeon, Joodalup",https://www.precisionperth.com.au/,Orthopaedic service,"Precision Orthopaedics, Joondalup Health Campus Specialist Centre West",JOONDALUP,6027,WA
"Dr Ross Agnello, Ophthalmologist",https://www.duncraigeyesurgeons.com/doctors,Ophthalmology,93 Warwick Road,DUNCRAIG,6023,WA
"Dr Jonathon Ng, Ophthalmologist - Karrinyup",https://www.pertheye.com.au/jonathonng.html,Ophthalmology,14 Davenport Street,KARRINYUP,6018,WA
"Dr Jeremy Raiter, Ophthalmologist",https://www.jeremyraiter.com.au/,Ophthalmology,Suite 4,KARRINYUP,6018,WA
Dr Richard Gardner - Ophthamology,https://www.cambridgeeye.com.au/,Ophthalmology,154 Cambridge Street,WEST LEEDERVILLE,6007,WA
"Dr Dru Daniels, Ophthalmologist",http://drudaniels.com.au/,Ophthalmology,172A Cambridge Street,WEST LEEDERVILLE,6007,WA
"Dr Timothy Isaacs, Ophthalmologist",www.perthretina.com.au,Ophthalmology,Suite 105,SUBIACO,6008,WA
"Dr Frederick J. Nagle, Ophthalmologist",https://www.drnaglelasereyesurgery.com.au/,Ophthalmology,12 Clive Street,WEST PERTH,6005,WA
Dr Thomas Cunneen - Ophthamologist,http://www.tomcunneen.com.au,Ophthalmology,10 Churchill Avenue,SUBIACO,6008,WA
Ocean Wave Medical,http://oceanwavemedical.com.au/,Pathology,87 Bowman Road,CALOUNDRA,4551,QLD
Sunshine Coast Cardiology,https://www.sccardiology.com.au/medical-professionals/scph-buderim-heart-centre/,Cardiology,Suite 15,BUDERIM,4556,QLD
Dr Rylan Hayes - The Vision Surgeon,https://www.thevisionsurgeon.au,Ophthalmology,1st Floor,MAROOCHYDORE,4558,QLD
"Dr Darshan Ghia, Neurologist",www.clinicalneurology.com.au,Neurology,Clinical Neurology Services,KARRINYUP,6018,WA
Nervesync | Perth Migraine Centre,https://www.nervesync.com.au/,Neurology,John Of God Mt Lawley Hospital,MOUNT LAWLEY,6050,WA
"Dr Susan Ho, Neurologist",https://www.drsusanhoneurology.com.au/,Neurology,UNIT 2,WEST LEEDERVILLE,6007,WA
"Prof William Carroll, Neurologist",https://www.sjogneurology.com.au/about,Neurology,"St John of God Healthcare, Subiaco Clinic",SUBIACO,6008,WA
"Dr Peter Silbert, Neurologist",http://www.perthnp.com.au/,Neurology,56 Churchill Avenue,SUBIACO,6008,WA
Midland Medical Specialists,https://www.midlandms.com.au/,Neurology; Cardiology,Midland Specialist Centre,MIDLAND,6056,WA
Perth Neurology and Epilepsy,www.perthneurologyandepilepsy.com.au,Neurology,Suite 7,NEDLANDS,6009,WA
"Dr Julian P Rodrigues, Neurologist",http://www.drjulianrodrigues.com.au,Neurology,Hollywood Medical Centre,NEDLANDS,6009,WA
MedOne Medical Centre,http://medonemedical.com.au/index.html,Pathology,Myvista Mirrabooka,MIRRABOOKA,6061,WA
East Road Family Medical Centre,http://eastroadmedical.com.au,Pathology,Eastroad Family Doctors,HOCKING,6065,WA
Rudloc Road Medical and Dental Centre,https://www.rudlocroadmedicalcentre.com.au/,Pathology; Radiology service,40 RUDLOC ROAD,MORLEY,6062,WA
Belridge Medical Group,http://www.belridgemedicalcentre.com/,Pathology,Unit 1,BELDON,6027,WA
St Francis Medical Centre - Subiaco,https://www.stfrancissubiaco.com.au,Pathology,14 SHEEN STREET,SUBIACO,6008,WA
Sunlander Medical Centre,https://www.sunlandermedicalcurrambine.com.au,Pathology,10 SUNLANDER DRIVE,CURRAMBINE,6028,WA
Mends Street Family Practice,http://www.msfp.com.au/contact/,Pathology,UNIT 11,SOUTH PERTH,6151,WA
Advara HeartCare - Joondalup Private Hospital (formerly Northern Hearts),https://northernhearts.com.au/,Cardiology,Joondalup Private Hospital,JOONDALUP,6027,WA
WA Vascular Centre,https://wavascular.com.au/contact/,Cardiology,690 BEAUFORT STREET,MOUNT LAWLEY,6050,WA
Sunshine Coast Orthopaedic Clinic,https://sunshineortho.com.au/,Orthopaedic service,Kawana Private Hospital Sunshine Coast Surgical & Spec,BIRTINYA,4575,QLD
Sunshine Coast Joint Surgery,https://sunshinecoastjointsurgery.com.au/,Orthopaedic service,Sunshine Coast Surgical & Specialist Centre,BIRTINYA,4575,QLD
The Sunshine Coast Centre for Orthopaedics,https://www.scco.com.au/,Orthopaedic service,Level 4 Suite 501,BIRTINYA,4575,QLD
Sunshine Coast Spine and Orthopaedics,www.sunshinecoastspine.com.au,Orthopaedic service,"Pulse Specialist Centre, Level 3",BIRTINYA,4575,QLD
Coastal Orthopaedic Surgery,http://www.coastalorthosurgery.com.au,Orthopaedic service,SE 3,NOOSAVILLE,4566,QLD
Dr John Rooney - Orthopaedic Surgeon,https://www.johnrooney.com.au/,Orthopaedic service,Suite 901,DARLINGHURST,2010,NSW
St Vincent's SportsMed,stvincentssportsmed.com.au,Orthopaedic service,St Vincent's Clinic,DARLINGHURST,2010,NSW
Dr Oliver Khoo,https://www.oliverkhoo.com.au/,Orthopaedic service,St Vincent's Clinic,DARLINGHURST,2010,NSW
Sydney Orthopaedic Specialists,https://www.sydneyorthopaedic.com.au/contact-us.html,Orthopaedic service,Prince Of Wales Private Hospital,RANDWICK,2031,NSW
Dr Benjamin Hope Orthopaedic Surgery - Sydney,http://www.drbenhope.com.au/,Orthopaedic service,Level 9 Suite 12,SYDNEY,2000,NSW
Dr John Tawfik - Hand and Wrist Surgeon,https://tawfik.com.au/,Orthopaedic service,"St Lukes Clinic, Hemsley House",POTTS POINT,2011,NSW
Barangaroo Orthopaedic & Sports Injury Clinic,www.bosic.com.au,Orthopaedic service,Level 1 Suite 3,BARANGAROO,2000,NSW
Dr Gordon Slater,https://www.orthopaedic-surgeon.com.au,Orthopaedic service,5 WARD AVENUE,POTTS POINT,2011,NSW
Benchmark Medical Sydney,http://www.benchmarkmedical.com.au,Orthopaedic service,304-308 GEORGE STREET,SYDNEY,2000,NSW
Dr Anna Watson,https://www.annawatson.com.au/,Orthopaedic service,Park House,SYDNEY,2000,NSW
Dr Mark Ridhalgh - Orthopaedic Surgeon,http://www.doctormarkridhalgh.com.au/about,Orthopaedic service,Level 3 Suite 310,EDGECLIFF,2027,NSW
Mascot Cardiology,http://www.mascotcardiology.com/,Cardiology,Suite 4,MASCOT,2020,NSW
Cardiac Clinic,https://cardiacclinic.square.site/contact-us,Cardiology,50 High Street,RANDWICK,2031,NSW
Maroubra Medical and Dental Centre,https://www.maroubramedicalanddental.com.au/,Cardiology; Pathology,806-812 Anzac Parade,MAROUBRA,2035,NSW
Sydney Heart & Vascular,https://sydneyheartandvascular.com.au/,Cardiology,Tower 1,BONDI JUNCTION,2022,NSW
Port Coogee Family Practice,http://www.portcoogeefamilypractice.com.au,Pathology,Coogee Village Shopping Centre,NORTH COOGEE,6163,WA
Cannington Medical and Dental Centre,https://www.canningtonmedicalcentre.com.au/,Pathology; Radiology service,8-10 Hamilton Street,CANNINGTON,6107,WA
Prime Medical Centre,https://www.primemedicalcentre.com.au,Pathology,101 FOREST LAKES DRIVE,THORNLIE,6108,WA
Murdoch Surgicentre,http://www.murdochsurgicentre.com.au/,Orthopaedic service; Ophthalmology,St John of God Hospital Murdoch,MURDOCH,6150,WA
"Dr Michael Halliday, Orthopaedic Surgeon",https://www.drmichaelhalliday.au/,Orthopaedic service,Wexford Medical Centre,MURDOCH,6150,WA
"Mr Mark Hurworth, Orthopaedic Surgeon - Murdoch",https://markhurworth.com.au/,Orthopaedic service,Murdoch Orthopaedic Clinic,MURDOCH,6150,WA
"Dr Wally Knezevic, Neurologist",https://www.drwk.com.au/,Neurology,"SJOG Murdoch Medical Centre, Building C",MURDOCH,6150,WA
NeuroWest - Dr Muhammad Aaqib,www.neurowest.com.au,Neurology,Wexford Medical Centre,MURDOCH,6150,WA
"Dr Ross S Goodheart, Neurologist",https://www.rossgoodheart.com.au/,Neurology,22 Charles Street,SOUTH PERTH,6151,WA
Randwick Medical,http://www.randwickmedical.com.au/,Pathology,155 Belmore Road,RANDWICK,2031,NSW
Carlton Railway Medical Practice,https://eastbrookemedical.com.au/medical-centre/carlton/,Pathology,354 RAILWAY PARADE,CARLTON,2218,NSW
Hurstville Medical Practice,http://hurstvillemedicalpractice.com.au/,Pathology,1 PARK ROAD,HURSTVILLE,2220,NSW
Sans Souci Medical Practice,https://www.sanssoucimedicalpractice.com.au,Pathology,Shop 2-5,SANS SOUCI,2219,NSW
Eye & Retina Specialists,http://eyeandretina.com.au/,Ophthalmology,Suite C1,WATERLOO,2017,NSW
Rosebery Day Surgery,http://www.roseberydaysurgery.com.au/,Ophthalmology,308 Gardeners Road,ROSEBERY,2018,NSW
Eyehaus,https://eyehaus.com.au/,Ophthalmology,Royal Randwick Shopping Centre,RANDWICK,2031,NSW
Bright Sight Eye Specialists,https://www.brightsight.com.au,Ophthalmology,Retail,RANDWICK,2031,NSW
Dr Versace,https://drversace.com.au/,Ophthalmology,Westfield Tower 1,BONDI JUNCTION,2002,NSW
